Time Interval,Edge 1,Edge 2,Edge 3,Edge 4,Edge 5,Edge 6,Edge 7,Edge 8,Edge 9,Edge 10,Edge 11,Edge 12,Edge 13,Edge 14,Edge 15,Edge 16,Edge 17,Edge 18,Edge 19
2024-06-03 15:30:00 - 2024-06-03 15:35:00,55,33,13,9,5,0,19,13,29,9,14,7,10,4,5,4,46,3,47
2024-06-03 15:35:00 - 2024-06-03 15:40:00,83,57,15,6,4,0,40,20,31,9,18,6,21,11,9,15,41,8,58
2024-06-03 15:40:00 - 2024-06-03 15:45:00,58,39,10,5,4,0,21,13,49,9,15,7,10,7,6,8,45,5,74
2024-06-03 15:45:00 - 2024-06-03 15:50:00,58,33,18,12,5,0,18,18,28,6,10,2,18,5,4,13,45,6,52
2024-06-03 15:50:00 - 2024-06-03 15:55:00,78,45,25,14,4,0,19,22,33,7,10,6,20,4,3,11,35,5,53
2024-06-03 15:55:00 - 2024-06-03 16:00:00,64,40,21,9,5,0,30,23,30,10,15,7,23,9,5,15,35,7,55
2024-06-03 16:00:00 - 2024-06-03 16:05:00,84,47,27,17,9,0,28,29,34,11,15,3,27,11,4,21,34,9,48
2024-06-03 16:05:00 - 2024-06-03 16:10:00,86,56,19,9,3,0,30,24,39,11,20,9,18,13,9,12,43,7,55
2024-06-03 16:10:00 - 2024-06-03 16:15:00,61,34,28,12,6,0,28,31,34,9,20,5,28,13,11,20,60,11,69
2024-06-03 16:15:00 - 2024-06-03 16:20:00,72,43,22,12,6,0,31,26,32,8,15,5,19,12,7,12,35,7,63
2024-06-03 16:20:00 - 2024-06-03 16:25:00,61,37,10,9,3,0,25,11,22,6,17,3,14,4,11,8,42,7,56
2024-06-03 16:25:00 - 2024-06-03 16:30:00,75,51,10,6,5,0,27,15,38,14,20,12,18,10,6,5,29,4,57
2024-06-03 16:30:00 - 2024-06-03 16:35:00,73,45,14,11,7,0,27,15,40,5,13,14,25,5,8,17,49,9,72
2024-06-03 16:35:00 - 2024-06-03 16:40:00,96,59,11,14,8,0,37,15,31,14,23,11,23,9,9,17,35,9,65
2024-06-03 16:40:00 - 2024-06-03 16:45:00,82,50,23,12,7,0,42,24,44,6,14,8,22,9,8,12,55,7,72
2024-06-03 16:45:00 - 2024-06-03 16:50:00,95,60,20,12,16,0,24,23,40,8,10,7,22,10,2,16,57,6,76
2024-06-03 16:50:00 - 2024-06-03 16:55:00,103,63,14,15,11,0,42,20,37,13,19,7,32,12,6,22,40,10,70
2024-06-03 16:55:00 - 2024-06-03 17:00:00,86,51,18,14,7,0,43,23,35,11,22,10,31,12,11,30,42,14,70
2024-06-03 17:00:00 - 2024-06-03 17:05:00,103,58,17,20,5,0,35,24,34,11,22,12,40,14,11,31,55,14,55
2024-06-03 17:05:00 - 2024-06-03 17:10:00,105,65,18,15,9,0,41,29,47,12,23,11,34,20,11,17,56,10,75
2024-06-03 17:10:00 - 2024-06-03 17:15:00,99,54,28,21,11,0,59,29,41,12,23,11,47,10,11,40,45,17,89
2024-06-03 17:15:00 - 2024-06-03 17:20:00,105,64,19,15,12,0,54,22,47,12,15,15,40,10,3,30,47,11,57
2024-06-03 17:20:00 - 2024-06-03 17:25:00,98,57,27,17,10,0,58,32,59,8,17,7,44,15,9,23,70,11,87
2024-06-03 17:25:00 - 2024-06-03 17:30:00,115,66,26,21,11,0,49,34,37,11,18,12,49,19,7,36,65,15,74
2024-06-03 17:30:00 - 2024-06-03 17:35:00,107,61,22,20,9,0,58,31,44,13,16,23,43,19,3,32,45,12,81
2024-06-03 17:35:00 - 2024-06-03 17:40:00,119,68,34,22,12,0,53,38,47,18,29,14,49,16,11,34,58,15,73
2024-06-03 17:40:00 - 2024-06-03 17:45:00,117,68,23,21,21,0,46,27,59,11,21,19,40,13,10,27,70,13,82
2024-06-03 17:45:00 - 2024-06-03 17:50:00,125,73,26,21,18,0,61,30,50,13,26,17,46,13,13,29,64,14,100
2024-06-03 17:50:00 - 2024-06-03 17:55:00,113,66,26,19,11,0,56,33,50,12,24,8,44,17,12,25,63,13,91
2024-06-03 17:55:00 - 2024-06-03 18:00:00,119,73,23,17,6,0,57,25,56,13,24,14,54,10,11,38,54,17,100
2024-06-04 06:00:00 - 2024-06-04 06:05:00,10,6,4,2,0,0,6,3,3,2,3,0,7,0,1,3,4,2,7
2024-06-04 06:05:00 - 2024-06-04 06:10:00,15,9,2,3,0,0,6,2,5,2,3,2,7,0,1,2,7,1,10
2024-06-04 06:10:00 - 2024-06-04 06:15:00,14,10,2,1,0,0,9,3,4,3,3,1,6,1,0,1,1,1,14
2024-06-04 06:15:00 - 2024-06-04 06:20:00,16,12,3,1,2,0,6,3,9,1,5,0,7,1,4,2,6,2,12
2024-06-04 06:20:00 - 2024-06-04 06:25:00,13,9,4,1,1,0,9,3,6,1,1,2,5,0,0,5,5,2,6
2024-06-04 06:25:00 - 2024-06-04 06:30:00,16,12,7,0,1,0,5,6,6,0,0,2,1,0,0,0,3,0,12
2024-06-04 06:30:00 - 2024-06-04 06:35:00,28,19,8,3,2,0,4,9,10,3,5,0,10,3,2,3,10,2,14
2024-06-04 06:35:00 - 2024-06-04 06:40:00,18,12,11,3,7,0,6,11,4,6,6,1,6,3,0,4,6,2,14
